H̦he   ;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000
1700;5663;5732;5808;5876;5945;6013;6082;6462;6537;6612;6631;6655;6757;6861;6891
1800;5773;5843;5919;6295;6371;6446;6523;6598;6605;6614;6641;6662;6802;6865;6907
1900;5884;6266;6350;6427;6505;6525;6537;6608;6625;6632;6652;6686;6869;6890;6942
2000;6318;6397;6482;6559;6638;6643;6667;6674;6686;6693;6695;6704;6881;6906;6954
2100;6447;6527;6613;6615;6645;6669;6676;6685;6693;6703;6709;6717;6934;6945;6970
2200;6577;6593;6624;6633;6649;6724;6731;6735;6741;6744;6756;6825;6940;6961;7029
2300;6578;6605;6642;6653;6664;6743;6752;6758;6763;6768;6864;6932;7001;7070;7138
2400;6601;6617;6684;6688;6694;6749;6764;6766;6771;6901;6970;7040;7109;7178;7247
2500;6619;6552;6698;6706;6717;6786;6856;6927;6995;7065;7134;7204;7273;7343;7413
2600;6657;6666;6708;6751;6821;6891;6961;7031;7101;7171;7241;7311;7381;7451;7521
2700;6713;6717;6721;6854;6925;6995;7066;7136;7207;7278;7348;7419;7489;7560;7630
2800;6738;6809;6814;6958;7029;7100;7171;7342;7313;7384;7455;7526;7597;7668;7739
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;