H̦he;600;700;800;900;1000;1100;1200;1300;1400;1500
1300;172,38;184,86;202,02;213,72;226,98;239,46;251,94;264,42;286,26;286,26
1400;179,40;191,88;209,04;222,30;235,56;248,04;262,08;274,56;296,40;296,40
1500;185,64;198,90;216,06;230,10;244,14;256,62;270,66;283,92;305,76;305,76
1600;201,24;215,28;233,22;246,48;260,52;274,56;289,38;302,64;325,26;325,26
1700;207,48;222,30;240,24;254,28;269,10;283,14;297,96;312,00;334,62;334,62
1800;214,50;228,54;248,04;262,08;276,90;291,72;306,54;321,36;344,76;344,76
1900;220,74;235,56;255,06;269,88;285,48;300,30;315,90;330,72;354,12;354,12
2000;229,32;244,14;264,42;279,24;295,62;310,44;326,82;342,42;366,60;366,60
2100;235,56;251,16;271,44;287,04;303,42;319,02;336,18;351,78;375,96;375,96
2200;235,56;251,16;271,44;287,04;303,42;319,02;336,18;351,78;375,96;375,96
