H̦he   ;1500;1600;1700;1800;1900;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200
600;202,80;210,60;216,06;223,08;230,10;236,34;242,58;249,60;255,84;263,64;273,00;280,02;286,26;292,50;298,74;306,54;312,00;319,02;325,26;331,50;338,52;346,32;351,78;358,80;365,82;372,06;378,30;378,30
700;219,18;226,20;233,22;240,24;247,26;254,28;260,52;268,32;274,56;283,92;293,28;299,52;307,32;314,34;320,58;328,38;334,62;342,42;349,44;355,68;362,70;370,50;376,74;384,54;391,56;397,80;404,82;404,82
800;243,36;251,16;258,96;265,98;273,78;280,80;287,82;295,62;302,64;312,00;322,14;329,94;336,96;343,98;351,78;359,58;367,38;374,40;381,42;389,22;395,46;404,04;411,06;418,86;425,88;432,90;440,70;440,70
900;259,74;266,76;275,34;283,14;290,16;298,74;306,54;314,34;321,36;331,50;342,42;349,44;358,02;365,82;372,84;382,20;389,22;397,02;404,04;412,62;420,42;429,00;436,80;444,60;452,40;460,20;468,00;468,00
1000;276,90;285,48;293,28;301,86;309,66;318,24;326,04;333,84;343,20;352,56;363,48;372,06;380,64;388,44;396,24;405,60;413,40;421,98;429,78;438,36;446,94;455,52;463,32;471,90;479,70;488,28;496,08;496,08
1100;293,28;301,08;309,66;319,02;327,60;336,18;343,98;352,56;361,92;372,06;383,76;392,34;400,92;408,72;418,08;427,44;436,02;444,60;453,18;461,76;470,34;479,70;489,06;497,64;506,22;514,80;523,38;523,38
1200;308,88;318,24;326,82;336,18;345,54;354,12;362,70;372,84;381,42;392,34;404,82;413,40;422,76;431,34;440,70;450,84;459,42;468,78;477,36;485,94;496,08;505,44;514,02;524,16;532,74;542,10;550,68;550,68
1300;324,48;333,84;343,98;352,56;362,70;372,84;381,42;391,56;400,92;411,84;424,32;433,68;443,04;453,18;461,76;472,68;482,82;491,40;500,76;510,12;519,48;530,40;539,76;549,90;559,26;567,84;577,98;577,98
1400;342,42;351,78;361,92;372,06;382,20;392,34;401,70;411,84;421,98;433,68;446,94;456,30;466,44;475,80;485,94;497,64;507,00;517,14;527,28;536,64;546,78;556,92;567,84;577,20;587,34;596,70;606,84;606,84
1500;358,02;368,16;379,08;389,22;399,36;410,28;420,42;430,56;440,70;453,18;466,44;476,58;487,50;497,64;507,78;519,48;529,62;539,76;549,90;560,04;570,18;581,10;592,02;602,94;612,30;624,00;633,36;633,36
1600;380,64;391,56;400,92;413,40;424,32;434,46;445,38;455,52;466,44;479,70;492,96;503,88;514,80;524,94;535,86;547,56;558,48;569,40;579,54;590,46;601,38;613,08;624,00;634,92;645,84;656,76;667,68;667,68
1700;396,24;407,16;418,08;429,78;440,70;452,40;463,32;475,02;485,94;498,42;512,46;524,16;535,08;546,00;556,92;569,40;580,32;592,02;602,94;613,86;625,56;637,26;648,96;660,66;671,58;682,50;694,20;694,20
1800;415,74;427,44;439,14;450,84;462,54;473,46;485,16;497,64;509,34;522,60;537,42;549,12;560,04;572,52;583,44;595,92;607,62;620,10;631,02;642,72;654,42;666,90;677,82;690,30;702,00;713,70;725,40;725,40
1900;431,34;443,04;455,52;467,22;479,70;492,18;503,88;516,36;528,84;542,10;557,70;569,40;581,10;593,58;605,28;618,54;630,24;641,94;654,42;666,90;678,60;691,86;703,56;716,04;727,74;740,22;751,92;751,92
2000;431,34;443,04;455,52;467,22;479,70;492,18;503,88;516,36;528,84;542,10;557,70;569,40;581,10;593,58;605,28;618,54;630,24;641,94;654,42;666,90;678,60;691,86;703,56;716,04;727,74;740,22;751,92;751,92
