H̦he   ;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200
600;280,02;287,04;294,06;300,30;310,44;322,92;329,94;336,18;343,20;349,44;357,24;364,26;370,50;376,74;382,98;390,00;397,80;404,82;411,84;418,08;425,10;425,10
700;298,74;305,76;313,56;319,80;330,72;343,98;351,00;358,02;364,26;372,06;380,64;386,88;393,90;401,70;407,94;414,96;423,54;431,34;438,36;444,60;451,62;451,62
800;336,18;342,42;350,22;358,02;368,94;382,98;389,22;397,02;404,82;411,84;421,20;428,22;436,02;443,82;450,84;458,64;467,22;475,02;482,82;489,84;497,64;497,64
900;354,90;362,70;369,72;377,52;389,22;403,26;411,06;418,86;426,66;434,46;444,60;452,40;459,42;468,00;475,80;483,60;492,96;501,54;508,56;516,36;524,16;524,16
1000;375,96;384,54;393,12;400,92;412,62;428,22;436,02;443,82;452,40;460,98;470,34;478,92;486,72;495,30;503,88;510,90;522,60;530,40;538,20;546,78;555,36;555,36
1100;394,68;404,04;411,84;421,20;434,46;448,50;457,08;465,66;474,24;483,60;492,96;502,32;510,90;519,48;528,06;536,64;547,56;556,14;564,72;574,08;581,88;581,88
1200;414,96;424,32;433,68;443,04;455,52;470,34;479,70;488,28;497,64;507,00;517,92;526,50;535,86;545,22;554,58;563,94;574,86;584,22;593,58;602,94;611,52;611,52
1300;433,68;443,82;452,40;461,76;476,58;491,40;500,76;510,12;520,26;529,62;540,54;549,90;560,04;569,40;578,76;588,90;599,82;609,96;619,32;629,46;638,82;638,82
1400;455,52;466,44;476,58;485,94;499,98;515,58;525,72;536,64;546,00;556,14;567,06;577,98;587,34;597,48;607,62;616,98;629,46;640,38;649,74;659,88;669,24;669,24
1500;474,24;485,16;496,08;506,22;521,04;536,64;547,56;557,70;568,62;578,76;589,68;600,60;610,74;621,66;631,80;642,72;655,20;665,34;676,26;686,40;697,32;697,32
1600;507,00;517,14;528,06;539,76;553,80;570,96;581,88;592,80;603,72;613,86;627,12;637,26;648,18;659,10;670,02;680,94;693,42;704,34;716,04;726,96;737,10;737,10
1700;524,94;536,64;548,34;558,48;574,08;591,24;602,94;613,86;624,78;636,48;649,74;660,66;672,36;682,50;694,20;705,90;719,16;730,86;741,78;753,48;765,18;765,18
1800;552,24;563,94;575,64;587,34;602,94;620,88;632,58;644,28;655,98;668,46;681,72;693,42;704,34;716,04;727,74;739,44;753,48;765,18;776,88;788,58;800,28;800,28
1900;570,96;582,66;595,92;607,62;623,22;641,16;653,64;665,34;677,82;690,30;704,34;716,04;727,74;741,00;752,70;765,18;778,44;791,70;803,40;815,10;827,58;827,58
2000;570,96;582,66;595,92;607,62;623,22;641,16;653,64;665,34;677,82;690,30;704,34;716,04;727,74;741,00;752,70;765,18;778,44;791,70;803,40;815,10;827,58;827,58
