H̦he   ;1200;1300;1400;1500;1600;1700;1800;1900;2000;2100
1500;361,14;374,40;391,56;404,04;421,98;444,60;460,98;475,80;489,06;489,06
1600;397,80;411,84;425,88;439,92;457,86;481,26;494,52;509,34;526,50;526,50
1700;408,72;421,98;436,80;451,62;470,34;494,52;507,78;522,60;541,32;541,32
1800;418,86;433,68;448,50;463,32;482,04;507,00;521,04;535,86;554,58;554,58
1900;429,78;444,60;459,42;475,80;495,30;519,48;534,30;549,90;569,40;569,40
2000;436,02;451,62;467,22;482,82;503,10;535,08;549,90;566,28;586,56;586,56
2100;446,94;463,32;478,92;495,30;515,58;547,56;563,16;579,54;599,82;599,82
2200;457,86;474,24;491,40;507,78;528,06;560,04;577,20;594,36;614,64;614,64
2300;469,56;485,16;502,32;520,26;541,32;573,30;590,46;607,62;628,68;628,68
2400;469,56;485,16;502,32;520,26;541,32;573,30;590,46;607,62;628,68;628,68
