H̦he   ;2000;2100;2200;2300;2400;2500;2600;2700;2800;2900;3000;3100;3200;3300;3400;3500;3600;3700;3800;3900;4000;4100;4200;4300;4400;4500;4600;4700;4800;4900;5000;5100;5200;5300;5400;5500;5600;5700;5800;5900;6000
1600;3059;3112;3166;3218;3272;3325;3378;3430;3483;3536;3589;3642;3696;3749;3802;3855;3909;3962;4015;4068;4121;4174;4227;4280;4333;4386;4439;4498;4551;4604;4657;4710;5004;5062;5120;5135;5154;5233;5314;5337;5337
1700;3131;3186;3239;3293;3346;3399;3453;3506;3560;3614;3668;3721;3775;3829;3882;3936;3989;4043;4096;4150;4203;4258;4311;4364;4418;4471;4525;4584;4875;4934;4992;5051;5110;5115;5122;5143;5159;5267;5317;5349;5349
1800;3205;3259;3313;3367;3420;3475;3529;3583;3637;3691;3745;3799;3854;3908;3962;4016;4070;4124;4179;4233;4287;4340;4394;4448;4502;4556;4852;4918;4978;5037;5053;5062;5117;5130;5136;5152;5178;5320;5336;5376;5376
1900;3277;3332;3386;3441;3496;3550;3605;3659;3714;3768;3823;3878;3932;3987;4041;4096;4151;4206;4260;4314;4369;4423;4478;4772;4833;4893;4954;5020;5080;5141;5145;5163;5168;5178;5183;5185;5192;5329;5348;5385;5385
2000;3351;3405;3460;3515;3570;3625;3680;3735;3791;3846;3901;3956;4011;4067;4122;4177;4232;4287;4341;4396;4451;4747;4809;4870;4932;4993;5055;5122;5123;5146;5165;5170;5177;5183;5191;5195;5202;5370;5378;5398;5398
2100;3423;3478;3534;3589;3645;3700;3757;3812;3867;3923;3978;4034;4090;4146;4201;4257;4312;4368;4424;4719;4782;4844;4907;4968;5031;5093;5105;5130;5137;5149;5207;5213;5216;5220;5223;5232;5285;5374;5391;5444;5444
2200;3495;3552;3608;3664;3720;3776;3832;3888;3944;4000;4057;4113;4169;4225;4281;4336;4393;4688;4751;4814;4877;4941;5004;5067;5084;5094;5115;5143;5152;5161;5222;5229;5234;5237;5241;5315;5369;5422;5475;5528;5528
2300;3569;3625;3682;3738;3795;3851;3907;3964;4021;4078;4134;4191;4247;4305;4361;4417;4718;4781;4846;4909;4974;5037;5059;5094;5106;5112;5125;5176;5180;5184;5227;5238;5240;5244;5344;5398;5452;5505;5559;5612;5612
2400;3685;3742;3799;3856;3914;3971;4028;4085;4142;4199;4256;4313;4371;4427;4724;4789;4854;4919;4984;5002;5024;5046;5070;5106;5122;5126;5151;5187;5193;5201;5255;5309;5365;5417;5471;5525;5579;5633;5687;5740;5740
2500;3685;3742;3799;3856;3914;3971;4028;4085;4142;4199;4256;4313;4371;4427;4724;4789;4854;4919;4984;5002;5024;5046;5070;5106;5122;5126;5151;5187;5193;5201;5255;5309;5365;5417;5471;5525;5579;5633;5687;5740;5740
